colour
Carmine Red
Carnation Pink
Carnelian
Carolina Blue
Carrot Orange
Castleton Green
Catalina Blue
Catawba
Cedar Chest
Ceil
Celadon
Celadon Blue
Celadon Green
Celeste
Celestial Blue
Cerise
Cerise Pink
Cerulean
Cerulean Blue
Cerulean Frost
CG Blue
CG Red
Chamoisee
Champagne
Charcoal
Charleston Green
Charm Pink
Cherry
Cherry Blossom Pink
Chestnut
China Pink
China Rose
Chinese Red
Chinese Violet
Chrome Yellow
Cinereous
Cinnabar
Cinnamon[Citation Needed]
Citrine
Citron
Claret
Classic Rose
Cobalt Blue
Cocoa Brown
Coconut
Coffee
Columbia Blue
Congo Pink
Cool Black
Cool Grey
Copper
Copper Penny
Copper Red
Copper Rose
Coquelicot
Coral
Coral Pink
Coral Red
Cordovan
Corn
Cornell Red
Cornflower Blue
Cornsilk
Cosmic Latte
Coyote Brown
Cotton Candy
Cream
Crimson
Crimson Glory
Crimson Red
Cyan
Cyan Azure
Cyan-Blue Azure
Cyan Cobalt Blue
Cyan Cornflower Blue
Cyber Grape
Cyber Yellow
Daffodil
Dandelion
Dark Blue
Dark Blue-Gray
Dark Brown
Dark Brown-Tangelo
Dark Byzantium
Dark Candy Apple Red
Dark Cerulean
Dark Chestnut
Dark Coral
Dark Cyan
Dark Electric Blue
Dark Goldenrod
Dark Green
Dark Imperial Blue
Dark Imperial Blue
Dark Jungle Green
Dark Khaki
Dark Lava
Dark Lavender
Dark Liver
Dark Magenta
Dark Medium Gray
Dark Midnight Blue
Dark Moss Green
Dark Olive Green
Dark Orange
Dark Orchid
Dark Pastel Blue
Dark Pastel Green
Dark Pastel Purple
Dark Pastel Red
Dark Pink
Dark Powder Blue
Dark Puce
Dark Purple
Dark Raspberry
Dark Red
Dark Salmon
Dark Scarlet
Dark Sea Green
Dark Sienna
Dark Sky Blue
Dark Slate Blue
Dark Slate Gray
Dark Spring Green
Dark Tan
Dark Tangerine
Dark Taupe
Dark Terra Cotta
Dark Turquoise
Dark Vanilla
Dark Violet
Dark Yellow
Dartmouth Green
Davy's Grey
Debian Red
Deep Aquamarine
Deep Carmine
Deep Carmine Pink
Deep Carrot Orange
Deep Cerise
Deep Champagne
Deep Chestnut
Deep Coffee
Deep Fuchsia
Deep Green
Deep Green-Cyan Turquoise
Deep Jungle Green
Deep Koamaru
Deep Lemon
Deep Lilac
Deep Magenta
Deep Maroon
Deep Mauve
Deep Moss Green
Deep Peach
Deep Pink
Deep Puce
Deep Red
Deep Ruby
Deep Saffron
Deep Sky Blue
Deep Space Sparkle
Deep Spring Bud
Deep Taupe
Deep Tuscan Red
Deep Violet
Deer
Denim
Desaturated Cyan
Desert
Desert Sand
Desire
Diamond
Dim Gray
Dirt
Dodger Blue
Dogwood Rose
Dollar Bill
Donkey Brown
Drab
Duke Blue
Dust Storm
Dutch White
Earth Yellow
Ebony
Ecru
Eerie Black
Eggplant
Eggshell
Egyptian Blue
Electric Blue
Electric Crimson
Electric Cyan
Electric Green
Electric Indigo
Electric Lavender
Electric Lime
Electric Purple
Electric Ultramarine
Electric Violet
Electric Yellow
Emerald
Eminence
English Green
English Lavender
English Red
English Violet
Eton Blue
Eucalyptus
Fallow
Falu Red
Fandango
Fandango Pink
Fashion Fuchsia
Fawn
Feldgrau
Feldspar
Fern Green
Ferrari Red
Field Drab
Firebrick
Fire Engine Red
Flame
Flamingo Pink
Flattery
Flavescent
Flax
Flirt
Floral White
Fluorescent Orange
Fluorescent Pink
Fluorescent Yellow
Folly
French Beige
French Bistre
French Blue
French Fuchsia
French Lilac
French Lime
French Mauve
French Pink
French Plum
French Puce
French Raspberry
French Rose
French Sky Blue
French Violet
French Wine
Fresh Air
Fuchsia
Fuchsia Pink
Fuchsia Purple
Fuchsia Rose
Fulvous
Fuzzy Wuzzy
Gainsboro
Gamboge
Generic Viridian
Ghost White
Giants Orange
Grussrel
Glaucous
Glitter
GO Green
Gold Fusion
Golden Brown
Golden Poppy
Golden Yellow
Goldenrod
Granny Smith Apple
Grape
Gray
Gray-Asparagus
Gray-Blue
Green-Blue
Green-Cyan
Green-Yellow
Grizzly
Grullo
Guppie Green
Halayà Úbe
Han Blue
Han Purple
Hansa Yellow
Harlequin
Harlequin Green
Harvard Crimson
Harvest Gold
Heart Gold
Heliotrope
Heliotrope Gray
Heliotrope Magenta
Hollywood Cerise
Honeydew
Honolulu Blue
Hooker's Green
Hot Magenta
Hot Pink
Hunter Green
Iceberg
Icterine
Illuminating Emerald
Imperial
Imperial Blue
Imperial Purple
Imperial Red
Inchworm
Independence
India Green
Indian Red
Indian Yellow
Indigo
Indigo Dye
International Klein Blue
Iris
Irresistible
Isabelline
Islamic Green
Italian Sky Blue
Ivory
Jade
Japanese Carmine
Japanese Indigo
Japanese Violet
Jasmine
Jasper
Jazzberry Jam
Jelly Bean
Jet
Jonquil
Jordy Blue
June Bud
Jungle Green
Kelly Green
Kenyan Copper
Keppel
Kobe
Kobi
Kombu Green
KU Crimson
La Salle Green
Languid Lavender
Lapis Lazuli
Laser Lemon
Laurel Green
Lava
Lavender Blue
Lavender Blush
Lavender Gray
Lavender Indigo
Lavender Magenta
Lavender Mist
Lavender Pink
Lavender Purple
Lavender Rose
Lawn Green
Lemon
Lemon Chiffon
Lemon Curry
Lemon Glacier
Lemon Lime
Lemon Meringue
Lemon Yellow
Lenurple
Licorice
Liberty
Light Apricot
Light Blue
Light Brilliant Red
Light Brown
Light Carmine Pink
Light Cobalt Blue
Light Coral
Light Cornflower Blue
Light Crimson
Light Cyan
Light Deep Pink
Light French Beige
Light Fuchsia Pink
Light Goldenrod Yellow
Light Gray
Light Grayish Magenta
Light Green
Light Hot Pink
Light Khaki
Light Medium Orchid
Light Moss Green
Light Orchid
Light Pastel Purple
Light Pink
Light Red Ochre
Light Salmon
Light Salmon Pink
Light Sea Green
Light Sky Blue
Light Slate Gray
Light Steel Blue
Light Taupe
Light Thulian Pink
Light Yellow
Lilac
Lime Green
Limerick
Lincoln Green
Linen
Lion
Liseran Purple
Little Boy Blue
Liver
Liver Chestnut
Livid
Lumber
Lust
Magenta
Magenta Haze
Magenta-Pink
Magic Mint
Magnolia
Mahogany
Maize
Majorelle Blue
Malachite
Manatee
Mango Tango
Mantis
Mardi Gras
Marigold
Mauve
Mauve Taupe
Mauvelous
May Green
Maya Blue
Meat Brown
Medium Aquamarine
Medium Blue
Medium Candy Apple Red
Medium Carmine
Medium Champagne
Medium Electric Blue
Medium Jungle Green
Medium Lavender Magenta
Medium Orchid
Medium Persian Blue
Medium Purple
Medium Red-Violet
Medium Ruby
Medium Sea Green
Medium Sky Blue
Medium Slate Blue
Medium Spring Bud
Medium Spring Green
Medium Taupe
Medium Turquoise
Medium Tuscan Red
Medium Vermilion
Medium Violet-Red
Mellow Apricot
Mellow Yellow
Melon
Metallic Seaweed
Metallic Sunburst
Mexican Pink
Midnight Blue
Mikado Yellow
Mindaro
Ming
Mint
Mint Cream
Mint Green
Misty Rose
Moccasin
Mode Beige
Moonstone Blue
Mordant Red 19
Moss Green
Mountain Meadow
Mountbatten Pink
MSU Green
Mughal Green
Mulberry
Mustard
Myrtle Green
Nadeshiko Pink
Napier Green
Naples Yellow
Navajo White
Navy
Navy Purple
Neon Carrot
Neon Fuchsia
Neon Green
New Car
New York Pink
Non-Photo Blue
North Texas Green
Nyanza
Ocean Boat Blue
Ochre
Office Green
Old Burgundy
Old Gold
Old Heliotrope
Old Lace
Old Lavender
Old Mauve
Old Moss Green
Old Rose
Old Silver
Olive
Olive Drab #7
Olivine
Onyx
Opera Mauve
Orange Peel
Orange-Red
Orange-Yellow
Orchid
Orchid Pink
Orioles Orange
Otter Brown
Outer Space
Outrageous Orange
Oxford Blue
OU Crimson Red
Pakistan Green
Palatinate Blue
Palatinate Purple
Pale Aqua
Pale Blue
Pale Brown
Pale Carmine
Pale Cerulean
Pale Chestnut
Pale Copper
Pale Cornflower Blue
Pale Cyan
Pale Gold
Pale Goldenrod
Pale Green
Pale Lavender
Pale Magenta
Pale Magenta-Pink
Pale Pink
Pale Plum
Pale Red-Violet
Pale Robin Egg Blue
Pale Silver
Pale Spring Bud
Pale Taupe
Pale Turquoise
Pale Violet
Pale Violet-Red
Pansy Purple
Paolo Veronese Green
Papaya Whip
Paradise Pink
Paris Green
Pastel Blue
Pastel Brown
Pastel Gray
Pastel Green
Pastel Magenta
Pastel Orange
Pastel Pink
Pastel Purple
Pastel Red
Pastel Violet
Pastel Yellow
Patriarch
Payne's Grey
Peach
Peach
Peach-Orange
Peach Puff
Peach-Yellow
Pear
Pearl
Pearl Aqua
Pearly Purple
Peridot
Periwinkle
Persian Blue
Persian Green
Persian Indigo
Persian Orange
Persian Pink
Persian Plum
Persian Red
Persian Rose
Persimmon
Peru
Phlox
Phthalo Blue
Phthalo Green
Picton Blue
Pictorial Carmine
Piggy Pink
Pine Green
Pineapple
Pink
Pink Lace
Pink Lavender
Pink-Orange
Pink Pearl
Pink Raspberry
Pink Sherbet
Pistachio
Platinum
Plum
Pomp And Power
Popstar
Portland Orange
Powder Blue
Princeton Orange
Prune
Prussian Blue
Psychedelic Purple
Puce
Puce Red
Pullman Green
Pumpkin
Purple Heart
Purple Mountain Majesty
Purple Navy
Purple Pizzazz
Purple Taupe
Purpureus
Quartz
Queen Blue
Queen Pink
Quinacridone Magenta
Rackley
Radical Red
Rajah
Raspberry
Raspberry Glace
Raspberry Pink
Raspberry Rose
Raw Umber
Razzle Dazzle Rose
Razzmatazz
Razzmic Berry
Rebecca Purple
Red
Red-Brown
Red Devil
Red-Orange
Red-Purple
Red-Violet
Redwood
Regalia
Registration Black
Resolution Blue
Rhythm
Rich Black
Rich Brilliant Lavender
Rich Carmine
Rich Electric Blue
Rich Lavender
Rich Lilac
Rich Maroon
Rifle Green
Roast Coffee
Robin Egg Blue
Rocket Metallic
Roman Silver
Rose
Rose Bonbon
Rose Ebony
Rose Gold
Rose Madder
Rose Pink
Rose Quartz
Rose Red
Rose Taupe
Rose Vale
Rosewood
Rosso Corsa
Rosy Brown
Royal Azure
Royal Blue
Royal Blue
Royal Fuchsia
Royal Purple
Royal Yellow
Ruber
Rubine Red
Ruby
Ruby Red
Ruddy
Ruddy Brown
Ruddy Pink
Rufous
Russet
Russian Green
Russian Violet
Rust
Rusty Red
Sacramento State Green
Saddle Brown
Safety Orange
Safety Yellow
Saffron
Sage
St. Patrick's Blue
Salmon
Salmon Pink
Sand
Sand Dune
Sandstorm
Sandy Brown
Sandy Taupe
Sangria
Sap Green
Sapphire
Sapphire Blue
Satin Sheen Gold
Scarlet
Scarlet
Schauss Pink
School Bus Yellow
Screamin' Green
Sea Blue
Sea Green
Seal Brown
Seashell
Selective Yellow
Sepia
Shadow
Shadow Blue
Shampoo
Shamrock Green
Sheen Green
Shimmering Blush
Shocking Pink
Sienna
Silver
Silver Chalice
Silver Lake Blue
Silver Pink
Silver Sand
Sinopia
Skobeloff
Sky Blue
Sky Magenta
Slate Blue
Slate Gray
Smitten
Smoke
Smoky Black
Smoky Topaz
Snow
Soap
Solid Pink
Sonic Silver
Spartan Crimson
Space Cadet
Spanish Bistre
Spanish Blue
Spanish Carmine
Spanish Crimson
Spanish Gray
Spanish Green
Spanish Orange
Spanish Pink
Spanish Red
Spanish Sky Blue
Spanish Violet
Spanish Viridian
Spicy Mix
Spiro Disco Ball
Spring Bud
Spring Green
Star Command Blue
Steel Blue
Steel Pink
Stil De Grain Yellow
Stizza
Stormcloud
Straw
Strawberry
Sunglow
Sunray
Sunset
Sunset Orange
Super Pink
Tan
Tangelo
Tangerine
Tangerine Yellow
Tango Pink
Taupe
Taupe Gray
Tea Green
Tea Rose
Tea Rose
Teal
Teal Blue
Teal Deer
Teal Green
Telemagenta
Tenné
Terra Cotta
Thistle
Thulian Pink
Tickle Me Pink
Tiffany Blue
Tiger's Eye
Timberwolf
Titanium Yellow
Tomato
Toolbox
Topaz
Tractor Red
Trolley Grey
Tropical Rain Forest
True Blue
Tufts Blue
Tulip
Tumbleweed
Turkish Rose
Turquoise
Turquoise Blue
Turquoise Green
Tuscan
Tuscan Brown
Tuscan Red
Tuscan Tan
Tuscany
Twilight Lavender
Tyrian Purple
UA Blue
UA Red
Ube
UCLA Blue
UCLA Gold
UFO Green
Ultramarine
Ultramarine Blue
Ultra Pink
Ultra Red
Umber
Unbleached Silk
United Nations Blue
University Of California Gold
Unmellow Yellow
UP Forest Green
UP Maroon
Upsdell Red
Urobilin
USAFA Blue
USC Cardinal
USC Gold
University Of Tennessee Orange
Utah Crimson
Vanilla
Vanilla Ice
Vegas Gold
Venetian Red
Verdigris
Vermilion
Vermilion
Veronica
Very Light Azure
Very Light Blue
Very Light Malachite Green
Very Light Tangelo
Very Pale Orange
Very Pale Yellow
Violet
Violet-Blue
Violet-Red
Viridian
Viridian Green
Vista Blue
Vivid Amber
Vivid Auburn
Vivid Burgundy
Vivid Cerise
Vivid Cerulean
Vivid Crimson
Vivid Gamboge
Vivid Lime Green
Vivid Malachite
Vivid Mulberry
Vivid Orange
Vivid Orange Peel
Vivid Orchid
Vivid Raspberry
Vivid Red
Vivid Red-Tangelo
Vivid Sky Blue
Vivid Tangelo
Vivid Tangerine
Vivid Vermilion
Vivid Violet
Vivid Yellow
Warm Black
Waterspout
Wenge
Wheat
White
White Smoke
Wild Blue Yonder
Wild Orchid
Wild Strawberry
Wild Watermelon
Willpower Orange
Windsor Tan
Wine
Wine Dregs
Wisteria
Wood Brown
Xanadu
Yale Blue
Yankees Blue
Yellow
Yellow-Green
Yellow Orange
Yellow Rose
Zaffre
Zinnwaldite Brown
Zomp
